Shaknspin W&F meter
Session:;trchnics 1500.CSV
Device:;6985321910C4EB9E-058
Avg Speed:;33.385
Avg Speed Dev:;00.17%
Var. Min:;33.31
Var. Max:;33.46
Var. Min%:;-0.235%
Var. Max%:;+0.233%
HighPass Min:;33.31
HighPass Max:;33.47
W&F peak:;0.097
W&F peak 2s:;0.088
W&F DIN:;0.035
W&F WRMS:;0.007
W&F RMS:;0.02
Jitter%:;0.230
Wow:;0.05
Flutter:;0.02
Freq1 (Hz):;00.610
Freq2 (Hz):;03.662

Speed trace (de-noised) in 2mS intervals
Frequency in Hz

Time;Speed;Freq;Magnitude
0;33.372;0.244;00.487
2;33.362;0.366;00.219
4;33.349;0.488;00.478
6;33.36;0.61;00.999
8;33.339;0.732;00.591
10;33.362;0.854;00.274
12;33.363;0.977;00.313
14;33.358;1.099;00.089
16;33.36;1.221;00.112
18;33.344;1.343;00.126
20;33.336;1.465;00.147
22;33.349;1.587;00.121
24;33.349;1.709;00.12
26;33.35;1.831;00.128
28;33.358;1.953;00.052
30;33.347;2.075;00.097
32;33.34;2.197;00.038
34;33.371;2.319;00.028
36;33.374;2.441;00.03
38;33.372;2.563;00.07
40;33.381;2.686;00.071
42;33.372;2.808;00.14
44;33.352;2.93;00.085
46;33.363;3.052;00.069
48;33.368;3.174;00.021
50;33.377;3.296;00.027
52;33.387;3.418;00.086
54;33.365;3.54;00.164
56;33.369;3.662;00.419
58;33.372;3.784;00.283
60;33.362;3.906;00.103
62;33.365;4.028;00.081
64;33.369;4.15;00.058
66;33.366;4.272;00.086
68;33.372;4.395;00.054
70;33.359;4.517;00.048
72;33.353;4.639;00.044
74;33.374;4.761;00.071
76;33.387;4.883;00.094
78;33.353;5.005;00.12
80;33.353;5.127;00.139
82;33.369;5.249;00.045
84;33.366;5.371;00.038
86;33.372;5.493;00.11
88;33.352;5.615;00.162
90;33.369;5.737;00.174
92;33.397;5.859;00.118
94;33.398;5.981;00.027
96;33.398;6.104;00.064
98;33.388;6.226;00.091
100;33.393;6.348;00.103
102;33.381;6.47;00.035
104;33.374;6.592;00.025
106;33.347;6.714;00.056
